id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,brandName
48416,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,French Connection Men Blue Printed T-shirt,French
37739,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,John Players Men Striped Shirt,John
26790,Men,Apparel,Topwear,Shirts,White,Summer,2013.0,Formal,Arrow Men White Striped Shirt,Arrow
33232,Men,Apparel,Topwear,Shirts,Blue,Fall,2012.0,Formal,Arrow Men Striped Blue Shirt,Arrow
16324,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Peter England Men Printed Navy Blue TShirt,Peter
8163,Men,Apparel,Topwear,Shirts,Red,Summer,2011.0,Casual,Highlander Men Red Checked Halden Slim Fit Shirt,Highlander
22390,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Mark Taylor Men Purple & White Striped Shirt,Mark
9662,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Indigo Nation Men Reversible Bling Blue Shirts,Indigo
19151,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,United Colors Of Benetton Men White T-shirt,United
14922,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Mr. Men Men Sleep Placid Blue Tshirts,Mr.
26041,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Formal,John Miller Men White Shirt,John
37722,Men,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Casual,John Players Men Grey Striped Shirt,John
7293,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Mickey Men's Mouse Butter Comic Duck Green T-shirt,Mickey
17719,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Reid & Taylor Men Check White Shirt,Reid
58570,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Puma Men Green T-shirt,Puma
6006,Men,Apparel,Topwear,Shirts,Red,Summer,2011.0,Casual,Highlander Men White Red Checked Slim Fit Shirt,Highlander
10572,Men,Apparel,Topwear,Sweaters,Red,Fall,2011.0,Casual,Puma Men Knitted Red Sweaters,Puma
19817,Men,Apparel,Topwear,Sweatshirts,Blue,Winter,2016.0,Casual,U.S. Polo Assn. Men Solid Blue Sweatshirt,U.S.
53799,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Puma Men Red T-shirt,Puma
8277,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Mr.Men Men's White Purple T-shirt,Mr.Men
21386,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Manchester United Men Printed Red T-shirt,Manchester
16289,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Peter England Men Printed Blue TShirt,Peter
39790,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,Peter England Men Blue Formal Shirt,Peter
26064,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,John Miller Men Check Blue Shirt,John
16634,Men,Apparel,Topwear,Tshirts,Green,Summer,2016.0,Casual,Facit Men Smart Green Tshirt,Facit
2842,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Mr.Men Men's Mr.Mischief Grey T-shirt,Mr.Men
3535,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Myntra Men's Saadhu Starter Kit Navy Blue T-shirt,Myntra
34332,Men,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Myntra Men Purple T-shirt,Myntra
9589,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Indigo Nation Men cotton White Shirts,Indigo
16494,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,LOCOMOTIVE Men Black Printed Round Neck T-shirt,LOCOMOTIVE
44885,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Puma Men Navy Blue Striped Polo neck T-shirt,Puma
13094,Men,Apparel,Topwear,Sweaters,Grey,Fall,2011.0,Casual,ADIDAS Men Badge P/O Grey Sweaters,ADIDAS
18229,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Manchester United Men Printed Red Tshirt,Manchester
9552,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Sports,Nike Men As Race Day Ss Red T-Shirts,Nike
27365,Men,Apparel,Topwear,Tshirts,Maroon,Fall,2011.0,Casual,Tantra Men Digi Skull Maroon T-shirt,Tantra
15968,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Turtle Check Men Black Shirt,Turtle
9667,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Indigo Nation Men Bling Red Black Shirts,Indigo
11684,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Lee Men Striped Shirt,Lee
16010,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Turtle Stripes Men Green TShirt,Turtle
25534,Men,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Wrangler Men American Flag Red Shirt,Wrangler
13943,Men,Apparel,Topwear,Shirts,Brown,Summer,2011.0,Casual,United Colors of Benetton Men Solid Brown Shirts,United
31541,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Classic Polo Men Striped Grey T-shirt,Classic
15963,Men,Apparel,Topwear,Jackets,Grey,Fall,2011.0,Casual,Turtle Solid Men Black Jacket,Turtle
23952,Men,Apparel,Topwear,Sweaters,Blue,Fall,2011.0,Casual,Provogue Men Blue Sweater,Provogue
14315,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,ADIDAS Men Solid Black Jerseys,ADIDAS
23137,Men,Apparel,Topwear,Sweatshirts,Beige,Fall,2011.0,Casual,Quechua Men Warm Fleece Beige Sweatshirt,Quechua
38792,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Che Guevara Men Green T-shirt,Che
20786,Men,Apparel,Topwear,Sweatshirts,White,Fall,2011.0,Casual,Classic Polo Men Striped White Sweatshirt,Classic
2849,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Mr.Men Men's Mr.Messy Lt Grey T-shirt,Mr.Men
11466,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,United Colors of Benetton Men Solid Navy Blue Polo Tshirt,United
17171,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,U.S. Polo Assn. Men Checks Grey Shirt,U.S.
30749,Men,Apparel,Topwear,Kurtas,White,Summer,2012.0,Ethnic,Fabindia Men White Kurta,Fabindia
9546,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Sports,Nike Men As Elite Ultimate Ss Training Purple T-Shirts,Nike
28568,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Nike Men Verbiage White T-shirt,Nike
10842,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Wrangler Men Celebrate Polo Grey T-Shirt,Wrangler
12917,Men,Apparel,Topwear,Sweaters,White,Fall,2011.0,Casual,Spykar Men Stripe White Sweaters,Spykar
12179,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Basics Men White Slim Fit Striped Shirt,Basics
8610,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Scullers Men Black Polo T-Shirts,Scullers
13421,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,United Colors of Benetton Men Stripes Black Polo T-shirts,United
28548,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Nike Men White T-shirt,Nike
8820,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Spykar Men Ranger White Full Shirts,Spykar
36185,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Reid & Taylor Men Red Polo T-shirt,Reid
17550,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Formal,Mark Taylor Men Red & White Striped Shirt,Mark
7004,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,s.Oliver Men's What Up Cracker Blue T-shirt,s.Oliver
7441,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Proline Men Grey Striped T-shirt,Proline
16899,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Status Quo Men Black Polo Tshirt,Status
19849,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,U.S. Polo Assn. Men Solid Blue Shirt,U.S.
20958,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,s.Oliver Men Solid Grey Tshirt,s.Oliver
33953,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,ADIDAS Men Blue Polo T-shirt,ADIDAS
37741,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,John Players Men Stripes Blue Shirt,John
16640,Men,Apparel,Topwear,Tshirts,Green,Summer,2016.0,Casual,Facit Men Smart Green Tshirt,Facit
7793,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Proline Men Purple Polo T-shirt,Proline
13753,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Belmonte Men Check Blue Shirts,Belmonte
9875,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Indigo Nation Men Price catch Purple Shirts,Indigo
4246,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Probase Men's I'M So Broke Green T-shirt,Probase
31781,Men,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Lee Men Henry Red Check Shirt,Lee
7921,Men,Apparel,Topwear,Tshirts,Maroon,Fall,2011.0,Casual,Proline Maroon Polo T-shirt,Proline
18631,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Puma Men GP Speed Navy Blue Tshirts,Puma
10665,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Doodle Boy Extream Racer Black Tshirts,Doodle
4840,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Sher Singh Men's Red Polo T-shirt,Sher
14526,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Mark Taylor Men Aqua Blue & White Grey Striped Shirt,Mark
15647,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Nike Men Runng Black Jerseys,Nike
18491,Men,Apparel,Topwear,Jackets,Black,Fall,2011.0,Sports,Nike Men Sideline Black Jacket,Nike
37133,Men,Apparel,Topwear,Shirts,Black,Summer,2012.0,Formal,Wills Lifestyle Men ClubLife Black Shirt,Wills
9955,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,Nike Men Blue Polo Tshirts,Nike
20178,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Wrangler Men Tiny Green Shirt,Wrangler
5281,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Classic Polo Men's Blue Green Logo Polo T-shirt,Classic
31382,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Locomotive Men Printed White T-shirt,Locomotive
7891,Men,Apparel,Topwear,Tshirts,Cream,Fall,2011.0,Casual,Proline Men Pack of 3 T-shirts,Proline
24283,Men,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Quiksilver Men Red Check Shirt,Quiksilver
38618,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Nike Men White 3D Neon Tee T-shirt,Nike
42584,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,United Colors of Benetton Men White T-shirt,United
28538,Men,Apparel,Topwear,Tshirts,Charcoal,Summer,2012.0,Sports,Nike Men Challenger Charcoal T-shirt,Nike
10839,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Wrangler Men N0. 3 Applique Polo Navy Blue T-Shirts,Wrangler
14677,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Basics Men Navy Slim Fit Shirt,Basics
16427,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Levi's Men Printed Purple Tshirts,Levi's
23193,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Highlander Men Green Check Shirt,Highlander
24069,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Locomotive Men Checked Black Shirt,Locomotive
17165,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Formal,U.S. Polo Assn. Men Maroon & White Check Shirt,U.S.
8393,Men,Apparel,Topwear,Tshirts,White,Fall,2012.0,Sports,ADIDAS Men White T-shirt,ADIDAS
16442,Men,Apparel,Topwear,Sweatshirts,Black,Fall,2011.0,Casual,Levis Men Printed Black Sweatshirts,Levis
16901,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Status Quo Men Green Polo Tshirt,Status
19336,Men,Apparel,Topwear,Jackets,Grey,Fall,2011.0,Casual,United Colors of Benetton Men Solid Grey Jacket,United
2009,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Casual,ADIDAS Mens Classic White Polo T-shirt,ADIDAS
14989,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,ADIDAS Men Solid Aqua Blue Sweatshirts,ADIDAS
51412,Men,Apparel,Topwear,Shirts,Lavender,Summer,2012.0,Formal,Myntra Men Lavender Striped Shirt,Myntra
8589,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Scullers Men Scul Blue Shirts,Scullers
19339,Men,Apparel,Topwear,Jackets,Black,Fall,2011.0,Casual,United Colors of Benetton Men Solid Black Jacket,United
3197,Men,Apparel,Topwear,Tshirts,Maroon,Summer,2011.0,Casual,Tantra Men's Re-Incarnation Burgendy T-shirt,Tantra
10490,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Flying Machine Men HS Blue Shirts,Flying
9593,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Scullers Men Scul White Shirts,Scullers
20262,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Wrangler Men Tee Navy Blue T-shirt,Wrangler
12210,Men,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Basics Men Orange Striped Polo T-shirt,Basics
5169,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Ed Hardy Men's Brave Hearts Stay True Grey T-shirt,Ed
43491,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,French Connection Men White T-shirt,French
28615,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Sports,Nike Men Black T-shirt,Nike
9611,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Indigo Nation Men Price catch Green White Shirts,Indigo
3263,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Guerrilla Men's Need Money Yellow T-shirt,Guerrilla
7127,Men,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Urban Yoga Men's Orange T-shirt,Urban
37119,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Formal,Wills Classic Men White Striped Shirt,Wills
3082,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Probase Men's Cartoon Navy T-shirt,Probase
33492,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Doodle Kids Boy Check Blue Shirt,Doodle
20334,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Mr.Men Men Printed Blue Tshirt,Mr.Men
25555,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Wrangler Men Biker Blue T-shirt,Wrangler
24684,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Highlander Men Navy Blue Check Shirt,Highlander
4088,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011.0,Casual,Classic Polo Men's Purple With Black White Stripes T-shirt,Classic
31358,Men,Apparel,Topwear,Tshirts,Brown,Fall,2012.0,Casual,Locomotive Brown Printed T-Shirt,Locomotive
3880,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Wrangler Men's Burnt Out Grey T-shirt,Wrangler
27649,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Superman Men Printed Blue T-shirt,Superman
8814,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Spykar Men Ranger Blue Black Check Shirts,Spykar
28858,Men,Apparel,Topwear,Tshirts,Cream,Fall,2013.0,Casual,Proline Men Cream T-shirt,Proline
3718,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Lee Men Grey Polo T-shirt,Lee
9666,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Indigo Nation Men Bling Blue Shirts,Indigo
15141,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Arrow Sport Men Check Blue Slim Fit Shirt,Arrow
56753,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Horsefly Men Navy Blue T-shirt,Horsefly
4423,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Wrangler Men's Rover Med Stripe Polo Navy T-shirt,Wrangler
20008,Men,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,United Colors of Benetton Men Printed Orange TShirt,United
10858,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Wrangler Men Furious Rides White T-Shirts,Wrangler
5861,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,ADIDAS Men's 16th Polo Black T-shirt,ADIDAS
18321,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Wills Lifestyle Men Check Purple Shirt,Wills
7768,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Sports,Nike Men's As Vapor Ulti Grey Black T-Shirt,Nike
32200,Men,Apparel,Topwear,Kurtas,Red,Summer,2012.0,Ethnic,Fabindia Men Printed Red Kurta,Fabindia
38615,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Nike Men Printed Mamba Black T-shirt,Nike
26303,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Proline Men Blue Striped Polo T-shirt,Proline
10015,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Locomotive Men American Glory White Tshirts,Locomotive
40092,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Sports,ADIDAS Men Navy Blue T-shirt,ADIDAS
40265,Men,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Scullers Men Purple T-shirt,Scullers
16549,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Basics Men Blue Slim Fit Checked Shirt,Basics
16416,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Levi's Men Stripes Grey Tshirts,Levi's
16648,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2016.0,Casual,Facit Men Polo Tee Navy Blue Tshirt,Facit
27594,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Scullers Men Navy Blue polo T-shirt,Scullers
3768,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Status Quo Men's Red Polo T-shirt,Status
10435,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Flying Machine Men HS Red Shirts,Flying
16461,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Locomotive Men Check Navy Blue Shirt,Locomotive
19851,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,U.S. Polo Assn. Men Solid Purple Shirt,U.S.
15001,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,ADIDAS Men Stripes Navy Blue Polo Tshirts,ADIDAS
51400,Men,Apparel,Topwear,Shirts,Yellow,Summer,2012.0,Formal,Myntra Men Yellow Shirt,Myntra
2024,Men,Apparel,Topwear,Tshirts,Red,Fall,2010.0,Casual,ADIDAS Mens Fitted Red T-shirt,ADIDAS
22405,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Mark Taylor Men Striped White Shirt,Mark
13743,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Belmonte Men Check Black Shirts,Belmonte
22338,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,John Players Men Solid Black Polo T-Shirt,John
12295,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Genesis Men Solid White Shirts,Genesis
11273,Men,Apparel,Topwear,Jackets,Blue,Fall,2011.0,Casual,Nike Men  Blue Jacket,Nike
18231,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Manchester United Men Printed Navy Blue Tshirt,Manchester
11698,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Lee Men Check Blue Shirts,Lee
30297,Men,Apparel,Topwear,Tshirts,Off White,Summer,2012.0,Casual,Myntra Men Grand Sport Off White T-shirt,Myntra
30785,Men,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Fabindia Men Printed Blue Kurta,Fabindia
4841,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Sher Singh Men's India White Polo T-shirt,Sher
11743,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Lee Men Green Polo Tshirts,Lee
30760,Men,Apparel,Topwear,Kurtas,Red,Summer,2012.0,Ethnic,Fabindia Men Printed Red Kurta,Fabindia
30761,Men,Apparel,Topwear,Kurtas,Black,Summer,2012.0,Ethnic,Fabindia Men Printed Black Kurta,Fabindia
26470,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Puma Men Heroes Black T-shirt,Puma
8856,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Mark Taylor Men Purple Striped Shirt,Mark
19327,Men,Apparel,Topwear,Sweatshirts,Navy Blue,Fall,2011.0,Casual,Myntra Men Solid Blue Sweatshirt,Myntra
9245,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Mark Taylor Men Blue Striped Shirt,Mark
26471,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Puma Men Classic Graphic  Navy Blue T-shirt,Puma
28810,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Denizen Men Check Blue Shirt,Denizen
22336,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,John Players Men Stripes Grey Polo T-Shirt,John
11169,Men,Apparel,Topwear,Sweaters,Green,Fall,2011.0,Casual,Scullers Men Stripes Green Sweaters,Scullers
24977,Men,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,United Colors of Benetton Men Pink Printed T-shirt,United
29653,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,Indigo Nation Men Striped Blue Shirt,Indigo
12185,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Basics Men Black Slim Fit Shirt,Basics
6764,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Timberland Men Blue & White Striped Polo T-shirt,Timberland
12274,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Formal,Genesis Men Solid Navy Blue Shirts,Genesis
6995,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,s.Oliver Men's Line Printed Dark Grey T-shirt,s.Oliver
56734,Men,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,Horsefly Men Pink T-shirt,Horsefly
4418,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Wrangler Men's Multicolor Striper Grey Melange T-shirt,Wrangler
44348,Men,Apparel,Topwear,Shirts,Brown,Summer,2012.0,Casual,Indian Terrain Men Brown Check Shirt,Indian
17562,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Mark Taylor Men Blue & White Striped Shirt,Mark
16050,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Highlander Men Check Navy Blue Shirt,Highlander
13776,Men,Apparel,Topwear,Tshirts,Cream,Fall,2011.0,Casual,Belmonte Men Printed Cream Tshirts,Belmonte
4051,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Myntra Men's Eagle Emblem Yellow T-shirt,Myntra
14016,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,Nike Men Solid White Tshirts,Nike
30765,Men,Apparel,Topwear,Kurtas,Beige,Summer,2012.0,Ethnic,Fabindia Men Beige Chikankari Silk Kurta,Fabindia
38611,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Nike Men Blue Run Free T-shirt,Nike
28848,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Proline Men Grey Polo T-shirt,Proline
17266,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,U.S. Polo Assn. Men Stripes Green  polo Tshirt,U.S.
25763,Men,Apparel,Topwear,Suspenders,Black,Summer,2012.0,Formal,Lino Perros Men Black & Green Suspenders,Lino
44838,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Puma Men Blue Heroes T-shirt,Puma
22407,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Mark Taylor Men Striped White Shirt,Mark
3883,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Wrangler Men's Star Flag Pring Navy T-shirt,Wrangler
1760,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Lotto Men Marcello White T-shirt,Lotto
20284,Men,Apparel,Topwear,Tshirts,Green,Summer,2016.0,Casual,Campbell Men Pack of 3 T-shirts,Campbell
15994,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Turtle Check Men Blue Shirt,Turtle
19241,Men,Apparel,Topwear,Jackets,Black,Fall,2010.0,Casual,Puma Men Lifestyle Track Black Jacket,Puma
